,Atta (Wheat)_1,Atta (Wheat)_2,Atta (Wheat)_3,Atta (Wheat)_4,Gram Dal_1,Gram Dal_2,Gram Dal_3,Gram Dal_4,Groundnut Oil (Packed)_1,Groundnut Oil (Packed)_2,Groundnut Oil (Packed)_3,Groundnut Oil (Packed)_4,Gur_1,Gur_2,Gur_3,Gur_4,Masoor Dal_1,Masoor Dal_2,Masoor Dal_3,Masoor Dal_4,Milk @_1,Milk @_2,Milk @_3,Milk @_4,Moong Dal_1,Moong Dal_2,Moong Dal_3,Moong Dal_4,Mustard Oil (Packed)_1,Mustard Oil (Packed)_2,Mustard Oil (Packed)_3,Mustard Oil (Packed)_4,Onion_1,Onion_2,Onion_3,Onion_4,Palm Oil (Packed)_1,Palm Oil (Packed)_2,Palm Oil (Packed)_3,Palm Oil (Packed)_4,Potato_1,Potato_2,Potato_3,Potato_4,Rice_1,Rice_2,Rice_3,Rice_4,Salt Pack (Iodised)_1,Salt Pack (Iodised)_2,Salt Pack (Iodised)_3,Salt Pack (Iodised)_4,Soya Oil (Packed)_1,Soya Oil (Packed)_2,Soya Oil (Packed)_3,Soya Oil (Packed)_4,Sugar_1,Sugar_2,Sugar_3,Sugar_4,Sunflower Oil (Packed)_1,Sunflower Oil (Packed)_2,Sunflower Oil (Packed)_3,Sunflower Oil (Packed)_4,Tea Loose_1,Tea Loose_2,Tea Loose_3,Tea Loose_4,Tomato_1,Tomato_2,Tomato_3,Tomato_4,Tur/Arhar Dal_1,Tur/Arhar Dal_2,Tur/Arhar Dal_3,Tur/Arhar Dal_4,Urad Dal_1,Urad Dal_2,Urad Dal_3,Urad Dal_4,Vanaspati (Packed)_1,Vanaspati (Packed)_2,Vanaspati (Packed)_3,Vanaspati (Packed)_4,Wheat_1,Wheat_2,Wheat_3,Wheat_4
2024-01-01,36.19,69,27,35,82.66,135,60,80,190.93,262,115,200,51.49,167,25,50,93.44,153,70,100,57.8,80,40,60,115.27,157,80,120,137.13,235,108,131.67,39.5,90,18,30,99.17,170,80,100,22.31,70,9,20,43.03,70,26,40,22.41,31,9,28,124.04,185,98,115,44.29,70,32,44,124.41,245,101,115,272.83,559,157,250,32.37,90,10,30,152.34,209,87,160,121.98,172,82,120,125.45,220,91,120,30.99,54,21,28
2024-01-02,36.17,69,27,35,82.61,133,58,80,190.64,262,116,200,52.16,147,32,50,93.43,153,70,100,58.47,83,40,60,115.75,180,80,120,137.09,235,108,130,41.14,90,19,40,98.61,176,80,100,22.61,70,9,20,43.27,70,23,40,22.49,33,9,28,124.01,189,99,130,44.62,70,38,44,124.28,245,101,112,280.83,560,157,300,33.97,90,10,30,150.97,210,87,160,121.72,170,82,120,125.55,220,90,120,30.95,62,21,28
2024-01-03,36.21,69,27,35,83.16,134,60,80,191.09,262,115,200,52.87,167,35,50,93.8,153,70,100,58.43,83,40,60,116.36,180,80,120,137.07,235,108,130,41.12,90,20,37.5,98.57,176,80,100,23.21,70,9,20,43.38,70,23,40,22.37,33,9,28,123.4,189,98,115,44.66,70,38,44,123.71,239,101,115,281.33,560,157,300,34.36,90,11,30,151.88,209,87,160,122.66,172,80,120,125.73,220,88,125,31.04,62,21,28
2024-01-04,36.18,69,27,35,83.08,134,58,80,191.22,262,116,190,52.64,167,32,50,93.93,153,70,100,58.38,83,40,60,116.25,180,80,120,136.83,235,108,130,40.77,90,20,40,98.66,176,80,100,23.33,70,9,20,43.56,70,26,40,22.33,31,9,28,123.76,189,97,130,44.53,60,38,44,123.85,239,101,112,280.84,560,157,300,34.31,90,10,30,151.82,216,87,160,122.74,172,80,120,125.74,220,88,120,31,62,21,28
2024-01-05,36.17,69,27,35,82.95,134,58,80,191.91,262,115,205,52.86,167,32,50,93.67,153,70,100,58.42,83,40,60,116.27,180,80,120,136.91,235,108,130,40.52,90,20,40,98.65,176,77,100,23.28,70,9,20,43.51,70,23,40,22.43,31,9,28,123.57,189,97,130,44.59,70,38,44,123.77,228,102,115,281.63,560,157,300,34.17,90,11,30,151.66,209,87,160,122.51,172,80,120,126.14,220,88,120,30.94,54,21,28
2024-01-06,36.48,69,28,35,83.02,134,60,80,191.75,262,116,220,52.32,167,36,50,93.75,153,70,100,58.48,80,40,60,116.48,180,90,120,136.93,235,108,130,39.79,80,20,40,98.77,176,77,100,22.92,70,9,20,43.35,70,26,40,22.25,31,9,28,121.5,189,97,130,44.55,70,38,44,123.46,239,101,115,275.89,559,157,300,33.37,80,11,30,152.36,209,87,160,122.73,172,80,120,125.53,220,88,120,31.18,54,21,28
2024-01-07,36.49,65,28,35,82.26,133,60,80,190.79,260,115,200,51.23,167,35,50,93.71,153,70,100,57.56,80,40,60,116.05,154,90,120,136.38,235,110,125,37.99,80,20,30,97.59,170,77,90,22.34,70,9,20,43.73,70,26,40,23.13,31,9,28,120.37,175,97,112.5,44.18,55,38,44,123.23,210,102,112,274.2,559,157,280,31.17,70,11,30,152.9,193,87,160,122.51,169,85,120,123.01,220,88,120,31.2,54,21,27
2024-01-08,36.3,69,27,35,83.21,136,58,80,191.68,262,112,190,52.86,167,33,50,93.79,153,70,100,58.48,83,40,60,116.41,180,87,120,136.57,235,108,127.5,40.06,80,17,40,98.45,176,77,90,23.44,70,9,20,43.68,70,26,40,22.32,31,9,28,123.19,189,98,120,44.57,60,38,44,123.46,239,101,120,281.77,560,157,300,33.6,88,11,30,151.24,209,87,160,122.86,175,82,120,125.43,220,88,120,31.12,62,21,28
2024-01-09,36.18,69,27,35,82.87,136,58,80,190.67,260,120,190,52.76,167,35,50,93.64,153,70,100,58.4,83,40,60,115.95,180,87,120,136.88,235,108,125,39.62,80,15,35,98.28,176,77,100,23.05,70,9,20,43.48,70,23,40,22.38,31,9,28,123.42,189,98,130,44.56,60,38,44.5,123.26,239,101,120,281.8,560,157,300,33.18,88,10,30,150.6,210,87,160,122.34,175,80,120,125.55,220,88,120,31.11,62,21,28
2024-01-10,36.24,69,27,35,82.85,138,58,80,191.72,262,118,185,52.78,167,35,50,93.46,153,70,100,58.37,83,40,60,115.96,180,80,120,136.9,235,109,130,39.51,80,15,40,98.25,176,77,100,23.2,70,9,20,43.65,70,23,40,22.34,31,9,28,123.72,189,98,120,44.6,60,37,44,123.15,239,101,117.5,281.08,560,157,250,32.98,88,11,30,150.31,210,87,160,122.25,168,80,110,125.65,220,88,120,31.06,62,21,28
